titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
movie,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,108,"Biography,Drama"
movie,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100,"Adventure,Comedy,Fantasy"
movie,Dallas Buyers Club,Dallas Buyers Club,2013,117,"Biography,Drama"
movie,Elliot Loves,Elliot Loves,2012,92,"Comedy,Romance"
movie,The First Grader,The First Grader,2010,103,"Biography,Drama,Romance"
movie,Jack Reacher,Jack Reacher,2012,130,"Action,Crime,Mystery"
movie,R.I.P.D.,R.I.P.D.,2013,96,"Action,Adventure,Comedy"
movie,Miles Ahead,Miles Ahead,2015,100,"Biography,Drama,Music"
movie,The Yellow Wallpaper,The Yellow Wallpaper,2012,115,Thriller
tvEpisode,Avotar,Avotar,2010,\N,Comedy
movie,Wilde Salomé,Wilde Salomé,2011,95,"Documentary,Drama"
movie,Scary Movie 5,Scary Movie 5,2013,86,Comedy
movie,13,13,2010,91,"Drama,Thriller"
video,Carnies,Carnies,2010,82,"Horror,Thriller"
tvMovie,For Love of Liberty: The Story of America's Black Patriots,For Love of Liberty: The Story of America's Black Patriots,2010,115,Documentary
movie,The Guardians,The Guardians,2010,88,"Comedy,Family"
movie,Ironmen,Ironmen,2010,119,"Biography,Drama"
tvSeries,The Sports Reporters,The Sports Reporters,2016,60,Talk-Show
movie,Clash of the Titans,Clash of the Titans,2010,106,"Action,Adventure,Fantasy"
movie,Nemesis,Nemesis,2010,83,Drama
movie,Thor,Thor,2011,115,"Action,Adventure,Fantasy"
movie,Red Dog,Red Dog,2011,92,"Biography,Comedy,Drama"
movie,Warcraft,Warcraft,2016,123,"Action,Adventure,Fantasy"
movie,Devil's Knot,Devil's Knot,2013,114,"Biography,Crime,Drama"
movie,Folk!,Folk!,2010,\N,Documentary
movie,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,101,"Comedy,Drama,Romance"
movie,The Mule,La mula,2013,100,"Comedy,Drama"
movie,Spoon,Spoon,2011,\N,"Action,Drama,Fantasy"
movie,A Letter to Elia,A Letter to Elia,2010,60,Documentary
movie,The Last Pogo Jumps Again,The Last Pogo Jumps Again,2013,200,"Documentary,Music"
movie,Tooth Fairy,Tooth Fairy,2010,101,"Comedy,Family,Fantasy"
movie,Belle du Seigneur,Belle du Seigneur,2012,104,"Drama,Romance"
movie,Cross the Line,Cross the Line,2010,87,Action
movie,The Danish Girl,The Danish Girl,2015,119,"Biography,Drama,History"
movie,Eyes of the Mothman,Eyes of the Mothman,2011,150,Documentary
movie,Jack and Jill,Jack and Jill,2011,91,Comedy
movie,Take Me Home Tonight,Take Me Home Tonight,2011,97,"Comedy,Drama,Romance"
movie,Plumíferos - Aventuras voladoras,Plumíferos - Aventuras voladoras,2010,80,"Adventure,Animation,Family"
movie,Lavoe,The King Hector Lavoe,2011,90,"Drama,Music"
movie,The Do-Deca-Pentathlon,The Do-Deca-Pentathlon,2012,76,Comedy
movie,Meridian Lines,Meridian Lines,2013,\N,Drama
movie,American Flyer,American Flyer,2010,100,Adventure
movie,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,2010,118,"Adventure,Family,Fantasy"
movie,Art Officially Favored,Art Officially Favored,2019,90,"Biography,Documentary,Fantasy"
movie,Ashes,Ashes,2010,\N,Drama
movie,She's Out of My League,She's Out of My League,2010,104,"Comedy,Romance"
movie,Card Subject to Change,Card Subject to Change,2010,87,Documentary
movie,The Book Thief,The Book Thief,2013,131,"Drama,War"
movie,Conan the Barbarian,Conan the Barbarian,2011,113,"Action,Adventure,Fantasy"
movie,Shanghai Hotel,Shanghai Hotel,2011,110,Drama
movie,Interstellar,Interstellar,2014,169,"Adventure,Drama,Sci-Fi"
movie,World War Z,World War Z,2013,116,"Action,Adventure,Horror"
movie,Flipped,Flipped,2010,90,"Comedy,Drama,Romance"
movie,Valentine's Day,Valentine's Day,2010,125,"Comedy,Romance"
movie,The Power of Few,The Power of Few,2013,96,"Action,Crime,Drama"
movie,Dreamkiller,Dreamkiller,2010,110,Thriller
movie,Soupernatural,Soupernatural,2010,\N,Drama
movie,Manhattan Minutiae,Manhattan Minutiae,2016,99,"Comedy,Music,Romance"
movie,Priest,Priest,2011,87,"Action,Fantasy,Horror"
